id;subject_rf;name_full;name_short;name_employee;inn;orn;legal_address;actual_address;phone;email;site;count_mkd;area_total;w_summ
8934999;"Пермский край";"Жилищный кооператив № 12";"ЖК № 12";"Екатерина Валентиновна Мылтасова ";5906013632;1025901374333;"г. Пермь, б-р. Гагарина, д. 101";"г. Пермь, ул. Старцева, д. 21, п. 51";89223091405;torno95@mail.ru;;1;4750,00;24,00
8892746;"Пермский край";"Жилищный Кооператив № 17";"ЖК № 17";"Сталина Леонтьевна Мельникова";5906012734;1025901368778;"г. Пермь, б-р. Гагарина, д. 95";"г. Пермь, б-р. Гагарина, д. 95";2621728;Yuriymelnikov1952@yandex.ru;;1;3278,19;18,50
8930063;"Пермский край";"Жилищный кооператив № 21";"ЖК № 21";"Тамара Александровна Пузравина";5902602595;1025900534098;"г. Пермь, ул. Екатерининская, д. 166, п. 67";"г. Пермь, ул. Екатерининская, д. 166";+79028090450;nadin@rtuiral.ru;;1;6776,90;28,50
8873345;"Пермский край";"Жилищный кооператив №22";ЖК№22;"Сергей  Иванович Курнев ";5906012660;1025901380383;"г. Пермь, ул. Пушкарская, д. 65";"г. Пермь, ул. Пушкарская, д. 65";89519513317;kcu-gk22@mail.ru;;1;2742,30;21,50
7575833;"Пермский край";"Жилищный кооператив №24";ЖК-24;"Светлана Сергеевна Рожкова";5906012251;1025901376357;"г. Пермь, ул. Добролюбова, д. 12";"г. Пермь, ул. Добролюбова, д. 12";"+7 904 848 53 36";gilcoop24@yandex.ru;;1;2893,50;20,00
8916791;"Пермский край";"Жилищный кооператив №27";"ЖК №27";"Кирилл Рафаилович Лутфуллин";5906022549;1025901370736;"г. Пермь, ул. Вагановых, д. 9";"г. Пермь, ул. Вагановых, д. 9";89028318006;euro-eco@list.ru;;1;;22,50
8933446;"Пермский край";"Жилищный кооператив № 35";"ЖК №35";"Надежда Николаевна Степанова";5906022612;1025901370725;"г. Пермь, ул. Тургенева, д. 19";"г. Пермь, д. 19";8-922-313-49-26;alina_zhiltcova@mail.ru;;1;3441,10;18,50
8934762;"Пермский край";"Жилищный кооператив №36";ЖК-36;"Виталий Вячеславович Жуков";5906013270;1025901377336;"г. Пермь, ул. Макаренко, д. 14";"г. Пермь, ул. Макаренко, д. 14";89519562878;vip.jvv1973@mail.ru;жил-кооп36.ру;1;5287,20;28,50
8934944;"Пермский край";"Жилищный кооператив № 37";"ЖК № 37";"Лариса Анатольевна Фисенко";5906012639;1025901378711;"г. Пермь, ул. Крупской, д. 75";"г. Пермь, ул. Крупской, д. 75";;Gk37elena@yandex.ru;;1;3235,90;21,50
8918296;"Пермский край";"Жилищный кооператив № 41";ЖК41;"Анна Африкантовна Истомина ";5906012043;1025901369262;"г. Пермь, ул. Аркадия Гайдара, д. 12";"г. Пермь, ул. Аркадия Гайдара, д. 12";2981076;jilkor41@mail.ru;;1;2541,00;22,00
8934268;"Пермский край";"Жилищный кооператив № 44";ЖК-44;"Сергей Иванович Григорьев";5906012170;1025901370549;"г. Пермь, б-р. Гагарина, д. 93/3, п. 67";"г. Пермь, б-р. Гагарина, д. 93/3, п. 7";+79048473921;tnjj@yandex.ru;;1;3548,00;23,00
8928351;"Пермский край";"Жилищный кооператив № 47";"ЖК № 47";"Надежда  Борисовна Систалюк";5907016837;1025901513824;"г. Пермь, ул. Александра Щербакова, д. 47, к. А, п. 27";"г. Пермь, ул. Александра Щербакова, д. 47, к. А, п. 27";89028045023;gk47a@yandex.ru;http://perm-gk47a.nethouse.ru;1;;21,50
8878574;"Пермский край";"Жилищный кооператив № 5";"ЖК № 5";"Максим Юрьевич Безруков";5906013128;1025901375169;"г. Пермь, б-р. Гагарина, д. 93, к. 2";"г. Пермь, б-р. Гагарина, д. 93, к. 2";нет;nazarowalyubov@yandex.ru;;1;4289,30;24,00
8934305;"Пермский край";"Жилищный кооператив №51";"ЖК №51";"Галина Владимировна Чупрова ";5906024793;1025901375477;"г. Пермь, б-р. Гагарина, д. 105";"г. Пермь, б-р. Гагарина, д. 105";89526587930;irina-26@bk.ru;;1;3159,50;20,50
7936651;"Пермский край";"Жилищный кооператив № 54";ЖК-54;"Галина Викторовна Якушева";5906012075;1025901378590;"г. Пермь, б-р. Гагарина, д. 99";"г. Пермь, б-р. Гагарина, д. 99";8(342)2621802;nat.gnv@yandex.ru;https://www.reformagkh.ru/;1;2632,70;27,00
8935093;"Пермский край";"Жилищный кооператив №57";"ЖК №57";"Александр Илдусович Зайнаков";5906011917;1025901363817;"г. Пермь, ул. Уральская, д. 36";"г. Пермь, б-р. Гагарина, д. 111/1, п. 33";89082531541;ab-3838@mail.ru;;1;3531,60;23,00
8373112;"Пермский край";"Жилищный кооператив № 63";"ЖК № 63";"Светлана Николаевна Лобецкая";5906024810;1025901372056;"г. Пермь, ул. Хрустальная, д. 13";"г. Пермь, ул. Хрустальная, д. 13";"342 2650611";jk63@yandex.ru;;1;3862,00;19,50
8732654;"Пермский край";"Жилищный-кооператив №66";ЖК-66;"Людмила Степановна Резвухина";5906024828;1025901375873;"г. Пермь, ул. Аркадия Гайдара, д. 14";"г. Пермь, ул. Аркадия Гайдара, д. 14";3422619549;dom2552@yandex.ru;;1;5729,90;21,50
8929396;"Пермский край";"Жилищный Кооператив № 68";"ЖК № 68";"Татьяна Александровна Ломова";5906024994;1025901379778;"г. Пермь, ул. Хрустальная, д. 6";"г. Пермь, ул. Хрустальная, д. 6";;;https://www.reformagkh.ru/mymanager/profile/profile/8929396/;1;6967,90;22,00
8938781;"Пермский край";"ЖИЛИЩНЫЙ  КООПЕРАТИВ ""ВИЛЬЯМСА,12""";"ЖК ""ВИЛЬЯМСА,12""";"Раиса  Ивановна Щербакова";5907027959;1165958089550;"г. Пермь, ул. Вильямса, д. 12";"г. Пермь, ул. Вильямса, д. 12";8-950-440-27-28;gkvilyamsa12@mail.ru;;1;11889,80;18,50
8929513;"Пермский край";"Жилищный кооператив  ""Екатерининская 98""";"ЖК ""Екатерининская 98""";"Наталья Станиславовна Кротова";5902010020;1155958023726;"г. Пермь, ул. Екатерининская, д. 98";"г. Пермь, ул. Екатерининская, д. 98";89028365142;Natali0488@mail.ru;;1;2979,30;30,00
8913094;"Пермский край";"Жилищный кооператив ""Поселок Кондратово, улица Карла Маркса, 4""";"ЖК ""Кондратово""";"Георгий Александрович Логачев";5948044270;1135948000935;"д. Кондратово, ул. Карла Маркса, д. 4";"д. Кондратово, ул. Карла Маркса, д. 4";296-43-19;logachev1@inbox.ru;;1;11478,00;22,50
8932970;"Пермский край";"ЖИЛИЩНЫЙ КООПЕРАТИВ ""ЛОМОНОСОВА,153""";"ЖК""Ломоносова,153""";" Илья Владиславович Беспалов ";5911075480;1165958062181;"г. Березники, ул. Ломоносова, д. 153";"г. Березники, пер. Локомотивный, д. 153";;;;1;1625,20;22,00
8935477;"Пермский край";"Жилищный кооператив ""Металлистов 8""";"ЖК ""Металлистов 8""";"Наталья Васильевна Богданова";5906134813;1155958113508;"г. Пермь, ул. Металлистов, д. 8";"г. Пермь, ул. Металлистов, д. 8";277-37-35;metallistov8@mail.ru;;1;5512,30;23,50
8931214;"Пермский край";"Жилищный кооператив ""Холмогорская, 2в""";"ЖК Холмогорская, 2в";"Ольга Павловна Шилова";5904329052;1155958127610;"г. Пермь, ул. Холмогорская, д. 2В, п. 3";"г. Пермь, ул. Холмогорская, д. 2В, п. 3";89128889222;zhk.holm@mail.ru;;1;12348,00;23,50
8936395;"Пермский край";"Жилищный кооператив ""Эффективное управление домами""";"ЖК""ЭФУД""";"Ирина Михайловна Расковалкина";5911076807;1165958109305;"г. Березники, ул. Тельмана, д. 42а, п. 34";"г. Березники, ул. Тельмана, д. 42а, п. 34";"8 (3424) 431-75";efud2016@yandex.ru;;2;4968,70;30,00
8929450;"Пермский край";"ЖИЛИЩНО СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №17Дзержинского района г . Перми";жск№;"МАРГАРИТА ВИКТОРОВНА ГОРДИЕНКО";5903058160;1025900763900;"г. Пермь, ул. Луначарского, д. 128";"г. Пермь, ул. Луначарского, д. 128, п. 67";25-777-15;kamri109@yandex.ru;;1;3702,90;24,00
8880687;"Пермский край";"Жилищно-строительный кооператив № 10";"ЖСК №10";"Татьяна Рудольфовна Лунева";5904041539;1025900905722;"г. Пермь, ул. Глеба Успенского, д. 2, к. а";"г. Пермь, ул. Глеба Успенского, д. 2, к. а";8-912-88431-21;jsk-10.luneva@yandex.ru;;1;5282,60;25,50
8838080;"Пермский край";"Жилищно-строительный кооператив ЖСК № 101 ""Старт""";"ЖСК № 101 Старт";"Дмитрий Александрович Гусинский";5906025028;1025901372507;"г. Пермь, ул. Уинская, д. 13";"г. Пермь, ул. Уинская, д. 13";"342 2613929";nata.kamin@mail.ru;http://jskstart.ucoz.ru/;1;114647,00;31,50
8930586;"Пермский край";"ЖСК №12";"ЖСК №12";"Олег Александрович Артемов ";5903059572;1025900765208;"г. Пермь, пр-кт. Парковый, д. 36";"г. Пермь, пр-кт. Парковый, д. 36";+79028359212;park-36@mail.ru;;1;11474,20;22,50
8295669;"Пермский край";"Жилищно-строительный кооператив №12";ЖСК'12;"Елена Александровна Бурулева";5911033120;1025901707930;"г. Березники, ул. Свердлова, д. 102, п. 28";"г. Березники, ул. Свердлова, д. 102, п. 28";83424277503;irina.sharapova.63@mail.ru;;2;5198,70;23,50
8927620;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 13";"ЖСК №13";"Виталий Витальевич Филимончук";5904041049;1035900501174;"г. Пермь, ул. Механошина, д. 6";"г. Пермь, ул. Механошина, д. 6";89124908730;vvf_77@mail.ru;;1;884,90;27,00
8929893;"Пермский край";"Жилищно-строительный кооператив №13";ЖСК-13;"Завдат Акрамович Шарафутдинов";5903058120;1025900761292;"г. Пермь, ул. Вильвенская, д. 5";"г. Пермь, ул. Вильвенская, д. 5";2152764;gsk-13@hotmail.com;;1;3096,40;27,00
8929245;"Пермский край";"Жилищно-строительный кооператив № 14";"ЖСК № 14";"Елена Николаевна Машихина";5903058138;1025900766770;"г. Пермь, ул. Челюскинцев, д. 19/4";"г. Пермь, ул. Челюскинцев, д. 19/4";"214-77-97. 89082559994";mars_stepanova@mail.ru;www.reformagkh.ru;1;;19,00
8932803;"Пермский край";"жилищно-строительный кооператив №15";жск-15;"ольга михайловна чеснокова";5902602517;1025900537882;"г. Пермь, ул. КИМ, д. 91, лит. а";"г. Пермь, ул. Борчанинова, д. 4, п. 43";89024748722;borchaninova4@mail.ru;;1;3256,00;20,50
8931579;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №15";ЖСК-15;"Александр Афанасьевич Машьянов";5908012810;1035901244202;"г. Пермь, ул. Магистральная, д. 98а";"г. Пермь, д. 98а";+79519588946;a_mashyanov@mail.ru;;2;7696,70;28,00
8935604;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 16 ПРИ ПЕРМСКОМ ОТДЕЛЕНИИ СВЕРДЛОВСКОЙ ЖЕЛЕЗНОЙ ДОРОГИ";"ЖСК № 16 ПРИ ПОСЖД";"НАДЕЖДА НИКОЛАЕВНА ЗАХАРОВА";5905097301;1025901220070;"г. Пермь, ул. Стахановская, д. 55";"г. Пермь, ул. Стахановская, д. 55";89194597424;znn-16@mail.ru;;1;2678,30;27,00
8930401;"Пермский край";"Жилищно-строительный кооператив- 17 при Ленинском РИК  г. Перми";ЖСК-17;"Галина Ивановна Басанова";5902602620;1025900533174;"г. Пермь, ул. Академика Королева, д. 6";"г. Пермь, ул. Академика Королева, д. 6";"8 912 780 99 12";bazgal007@gmail.com;;1;8705,10;28,50
8930276;"Пермский край";"жилищно-строительный кооператив № 18";"жск - 18";"Виталий Анатольевич Югов";5907008836;1025901510216;"г. Пермь, ул. Кабельщиков, д. 95";"г. Пермь, ул. Кабельщиков, д. 95";89125871595;vital.yugov@yandex.ru;;1;11574,00;24,50
8929307;"Пермский край";"Жилищно-строительный кооператив № 18";"ЖСК № 18";"Константин Валерьевич Варламов";5903058177;1025900765197;"г. Пермь, ул. Луначарского, д. 132";"г. Пермь, ул. Луначарского, д. 132";89027959104;Lunacharka132@mail.ru;;1;3903,10;27,50
8930390;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ №18 ПРИ АДМИНИСТРАЦИИ ЛЕНИНСКОГО РАЙОНА Г. ПЕРМИ";"ЖСК - 18 ЛЕНИНСКОГО РАЙОНА";"АНДРЕЙ ЮРЬЕВИЧ СЕМЕНИЩЕВ";5902602838;1025900534010;"г. Пермь, ул. Екатерининская, д. 166, к. А";"г. Пермь, ул. Екатерининская, д. 166, к. А";89127871145;al.chechkov@yandex.ru;WWW.REFORMAGKH.RU;1;4056,00;32,00
8929680;"Пермский край";"ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ № 19";"ЖСК № 19";"Любовь Михайловна Косухина";5903058184;2125903014994;"г. Пермь, ул. Луначарского, д. 134";"г. Пермь, ул. Луначарского, д. 134";8(342)236-72-80;zsk_19@mail.ru;;1;3910,60;27,00
8930144;"Пермский край";"ЖСК 1 при ПГУ им. А.М. Горького";"ЖСК1 при ПГУ";"Михаил Николаевич Васенин";5903058000;1025900766704;"г. Пермь, ул. Екатерининская, д. 198,200";"г. Пермь, ул. Екатерининская, д. 198,200";3422371454;gskpgu1@mail.ru;;2;6675,00;27,50
8929881;"Пермский край";"Жилищно-строительный кооператив № 2 завода им. Дзержинского";ЖСК-2;"Елена Леонидовна Загребина";5903058018;1025900763954;"г. Пермь, ул. Луначарского, д. 133, п. 36";"г. Пермь, ул. Луначарского, д. 133, п. 36";89091035415;zela1@mail.ru;;1;3129,60;27,00
8930014;"Пермский край";"Жилищно строительный кооператив №20";жск-20;"Светлана Анатольевна Захарова";5902602531;1025900535320;"г. Пермь, ул. Борчанинова, д. 8";"г. Пермь, ул. Борчанинова, д. 8";89125912716;zaharova321@yandex.ru;;1;3480,40;27,00
8927625;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ 20";"ЖСК 20";"Олег Вадимович Хадыркер";5904041105;1025900912542;"г. Пермь, ул. Льва Шатрова, д. 30";"г. Пермь, ул. Льва Шатрова, д. 30";+79223460050;ms.hadyrker@mail.ru;;2;5975,00;26,00
8930659;"Пермский край";"Жилищно-строительный кооператив №21 при Дзержинском исполнительном комитете";"ЖСК №21";"Элина Игоревна Окс";5903058201;1025900772655;"г. Пермь, ул. Крисанова, д. 75";"г. Пермь, ул. Крисанова, д. 75";89124843925;2670439@mail.ru;;1;4919,20;28,00
8930375;"Пермский край";"Жилищно-строительный кооператив № 21";"ЖСК № 21";"Елена  Николаевна Епихова ";5908012850;1025901612220;"г. Пермь, ул. Химградская, д. 47, к. а ";"г. Пермь, ул. Химградская, д. 47, к. а, лит.  ";8-902-47-98-448;epihowa.lena@yandex.ru;;1;3087,10;28,00
8929747;"Пермский край";"Жилищно-строительный кооператив № 22";"ЖСК № 22";"Галина Николаевна Евдокимова";5908012867;1025901609348;"г. Пермь, ул. Охотников, д. 12А";"г. Пермь, ул. Охотников, д. 12А";+79918085162;jsk-22@mail.ru;;1;2959,20;40,00
8928654;"Пермский край";"Жилищно-строительный кооператив № 22";ЖСК-22;"Тамара Венедиктовна Плотникова";5907008882;1025901511041;"г. Пермь, ул. Молдавская, д. 16";"г. Пермь, ул. Молдавская, д. 16";89082761697;plotnikova.tv@mail.ru;;1;2875,60;20,50
8928946;"Пермский край";"Жилищно-строительный кооператив №23";"ЖСК №23";"Наталья Владимировна Доспелова";5904041112;1025900915897;"г. Пермь, ул. Анвара Гатауллина, д. 3, к. а";"г. Пермь, ул. Анвара Гатауллина, д. 3, к. а";89128880285;gck23@rambler.ru;;1;2545,60;26,00
8928434;"Пермский край";"Жилищно-строительный кооператив № 24 электротехнического завода";"ЖСК № 24 при ЭТЗ";"Андрей Александрович Вихарев";5903058233;1025900761666;"г. Пермь, ул. Крисанова, д. 77, п. 89";"г. Пермь, д. 77, п. 89";9027915056;zhsk24@mail.ru;;1;4500,00;21,00
8937399;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ No 26";жск-26;"Дмитрий Дамирович Шарипов";5907008924;1025901513527;"г. Пермь, ул. Трясолобова, д. 69";"г. Пермь, ул. Трясолобова, д. 69";89082755076;zhsk26@mail.ru;;1;3979,20;19,50
7656729;"Пермский край";"Жилищно-строительный кооператив 26";ЖСК26;"Наталья Васильевна Зернина";5920012214;1025902031627;"г. Чайковский, ул. Декабристов, д. 16";"г. Чайковский, ул. Декабристов, д. 16";8342(41)2-95-73;tsg-chaik@yandex.ru;;1;2336,90;24,50
8228553;"Пермский край";"Жилищно-строительный кооператив №26";"ЖСК №26";"Алла Анатольевна Яворская";5905097911;1025901227747;"г. Пермь, пр-кт. Декабристов, д. 35";"г. Пермь, пр-кт. Декабристов, д. 35";"8 342 280 5849";ninapetrovna2012@mail.ru;;1;;13,50
8930281;"Пермский край";"Жилищно-строительный кооператив № 26";"ЖСК №26";"Галина Ивановна Русских";5903058258;1025900759720;"г. Пермь, ул. Луначарского, д. 135";"г. Пермь, ул. Луначарского, д. 135";89127820484;madam.russkikh2012@yandex.ru;;1;3528,10;27,50
8929325;"Пермский край";"Жилищно-строительный кооператив № 26";ЖСК-26;"ГАЛИНА ВАСИЛЬЕВНА ШЕСТОПАЛОВА";5908013645;1025901604673;"г. Пермь, ул. Волгодонская, д. 19";"г. Пермь, ул. Волгодонская, д. 19";+79223783260;gck-26@mail.ru;;1;2945,80;27,00
8930537;"Пермский край";"Потребительский кооператив Жилищно-строительный кооператив №26";ЖСК-26;"Алла Леонтьевна Комаровская";5902602570;1025900523604;"г. Пермь, ул. Луначарского, д. 80";"г. Пермь, ул. Луначарского, д. 80, п. 51";89120695421;allakomarovsky17@gmail.com;;1;;20,50
8927268;"Пермский край";"Жилищно-строительный кооператив №27";"ЖСК №27";"Олег Юрьевич Бобылев";5902602612;1025900531910;"г. Пермь, ул. Пушкина, д. 3";"г. Пермь, ул. Пушкина, д. 3";"(342) 246-92-27";jsk27perm@mail.ru;;1;14405,00;22,50
8930371;"Пермский край";"Жилищно-строительный кооператив №27";"ЖСК №27";"Андрей Михайлович Караваев";5904041144;1025900919220;"г. Пермь, ул. Лодыгина, д. 32";"г. Пермь, д. 32";+79129800001;;;1;3581,40;20,50
8928655;"Пермский край";"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ 28";ЖСК-28;"Нина Александровна Шуткина";5907008681;1025901510909;"г. Пермь, ул. Янаульская, д. 28";"г. Пермь, ул. Янаульская, д. 28";8-908-27-14-358;ninashutkina@mail.ru;;1;30612,80;30,50
8930584;"Пермский край";"Жилищно-строительный кооператив №28 завода АДС";"ЖСК №28 завода АДС";"Дмитрий Вячеславович Ленских";5903058272;1025900772050;"г. Пермь, ул. Рабочая, д. 15";"г. Пермь, ул. Рабочая, д. 15";+7902-471-00-87;ldv202008@yandex.ru;;1;;20,50
8931678;"Пермский край";"Жилищно Строительный Кооператив № 29";"ЖСК 29";"Геннадий Петрович Симора";5903058280;1025900768651;"г. Пермь, ул. Луначарского, д. 130";"г. Пермь, ул. Луначарского, д. 130";89519320622;lun130perm@mail.ru;;1;3765,00;27,50
8926547;"Пермский край";"Жилищно - строительный кооператив № 29";"ЖСК - 29";"Наталия Юрьевна Пикулева";5908012923;1025901609469;"г. Пермь, ул. Генерала Панфилова, д. 8";"г. Пермь, ул. Генерала Панфилова, д. 8";"+7922 33 777 39";8760389@mail.ru;;1;11415,00;29,50
8923401;"Пермский край";"Жилищно-строительный Кооператив № 29";"ЖСК № 29";"Василий Григорьевич Фролов";5905097936;1025901223590;"г. Пермь, ул. Стахановская, д. 6";"г. Пермь, ул. Стахановская, д. 6";89082655549;V89082655549@yandex.ru;;1;2458,70;27,50
8930855;"Пермский край";"Жилищно-Строительный кооператив №3";"ЖСК №3";"Дарья Александровна Тапасханова";5908011260;1025901611086;"г. Пермь, ул. Маршала Рыбалко, д. 109, к. а";"г. Пермь, ул. Маршала Рыбалко, д. 109, к. а";89504561213;daria.ta2016@yandex.ru;;1;2700,50;26,00
8929254;"Пермский край";"Жилищно-строительный кооператиа №3";ЖСК-3;"Галина Геннадьевна Широбокова";5904041176;2045900515626;"г. Пермь, ул. Лодыгина, д. 31";"г. Пермь, ул. Лодыгина, д. 31";89120705044;galogen1963@mail.ru;;1;3077,80;27,00
